,sen1,sen2,sen3,colalab,colasc
1479,"as it is, adding a computer into the mix just makes it worse.",Peple have accounts on social networking sites like facebook and sometimes they are very drame filled and cause problems.,Friendships are easily ruined and usually the cause of this is some kind of misunderstanding.,LABEL_1,0.7204693555831909
1480,One reason why I don't think computers have a positive effect on people is that the time spent on the computer could be put to better use by doing things with family and friends.,Now and day people are using social networking sites like @CAPS2 and @CAPS3 to talk with people far away.,People can spend hours communication with someone they will never meet and completly ignore the people who care for and love them.,LABEL_1,0.923651933670044
1481,"Dear @CAPS1, I believe that computers take away from our lives in a negative way.",New advancements in technology in general take away from our lives negatively.,"It can contribute to obesity, turn you into a couch potato, and can take away from your social life.",LABEL_1,0.8745105862617493
1482,"Its not that @ORGANIZATION2 did anything bad but the fact that since @CAPS2 computers have internet, those people who depend on computers are going to find it hard to avoid being hacked or worse getting all their information stolen.",There is this one thing about computers that remains constant.,Family and friends will find it hard to talk to there loved one when they spend all there time on computers.,LABEL_1,0.6222290396690369
1483,Researching topics can be easily accessed through a computer.,Communicating with others makes life easier and having fun while inspiring people everywhere makes computers have a total positive effect on people.,It creates a new atmosphere of enjoyment of different things.,LABEL_1,0.8086643218994141
1484,Do computers really benifit society?,This has been a tricky question for years.,Some people say computers are a huge help and it allows us to see the world through a different perspective; we learn more from computers and this vast increase in tecknology.,LABEL_1,0.7958102226257324
1485,"Plus people spend more time on a computer than ever, missing out on thier families and friends, not being able to enjoy nature and the other simple things in life.","Besides, if you want my honest opinion, computers should only be used as tools.","""The fact is many people look to computers as personal diaries or something to save files on or even something to play games on,"" says @PERSON2.",LABEL_1,0.8242522478103638
1486,"This is really what computers are made to do, help us.",It could be as simple as a @CAPS1 (@ORGANIZATION1) or as complexed as a super computer but it still only serves the main purpose of making life easier.,"Even if you tried to upgrade a computer it would still serve the same purpose, yet people still look on it as if it were still the next big thing in entertainment.",LABEL_1,0.6742746829986572
1487,It revolutionized both gaming and the way people look at gaming.,But whats the problem here?,The problem is that because of @ORGANIZATION2 people are now more addicted to entertainment.,LABEL_1,0.8505963087081909
1488,"As a country, @LOCATION1 has more obese people each decade.","A good way to lessen the obese population, is to get them out of that comouter chair.","@CAPS5 all you do is sit on a chair and play flash games and watch youtube videos all day, your sure to put on a few pounds, Those few pounds do accumulate.",LABEL_1,0.5462704300880432
1489,A second reason is that you can do alot of school work with it like doing a research paper or going to school online.,"And my final reason was that you can book things online without going anywhere, wasting gas.",So now it's your turn to decide whether having a computer is a good thing or a bad thing.,LABEL_1,0.9404414296150208
1491,"Dear local newspaper, @CAPS1 people think that computers educate people for the future but I think that they actually harm children and adults as well.","First of all, kids are so wraped up in computer games that they never go out and exercise.","Second, if you ask a child anything about nature they will probably not know what to say, but they would if they spent less time on the computer.",LABEL_1,0.619696855545044
1492,My first reason is that computers have given us the ability to find information quickly and easily.,This in turn allows us to get more done.,For example lets say that your doing a report on @CAPS1 @CAPS2.,LABEL_1,0.8979691863059998
1493,"Dear local newspaper, I am sure you will agree with me about keeping the computers in this world.",I am sure you will agree with me about keeping the computers in this world because computers help everyone in their education.,For example when i don't understand some words i go to the computer type <URL>.,LABEL_1,0.8789563179016113
1494,@PERCENT1 of @CAPS1 said they used a computer to comunicate with other people.,"People can use a webcam, aim, or email to communicate with other people.",To communicate with my family in @LOCATION2 I use a webcam.,LABEL_1,0.6132630109786987
1495,My parents are always staked about me talking to my friends and hanging out with them.,"So, when i can see or talk to my friends i go myspace or facebook or msn to talk and send messages to my friends.",We just keep chating and sending can messages because our parents don't let us hang out.,LABEL_1,0.618960976600647
1497,As you can see computers have a positive effect.,They teach hand eye coordination.,"They supply online chat, and are very convient.",LABEL_1,0.9642340540885924
1498,Computers allow people @NUM1 video chat and talk online.,"First, there are many families who have at least one member who lives in a different place.",Computer allow families to see each other online.,LABEL_1,0.5261019468307495
1499,"Next, theres no need to spend money and go buy a book to look up research just research online for free.","Finally, it is convinient for teachers and your employees, because if you need to send in a paper do it via-email.",Getting a paper by email is much easier than getting it in pen with samples.,LABEL_1,0.5331032872200012
1500,Computers have a positive effect on people.,"Computers can help people learn about news in the world, places and people.",Computers can also help people communicate with each other.,LABEL_1,0.8944222331047058
1501,"People who support advances in technology, believe computers have a positive effect on people.",Without computers people could not learn new things.,On a computer you can learn about new places.,LABEL_1,0.973695993423462
1502,Computers can also give you a live feed of what is happening in the world.,Without computers people could not learn.,On computers you can also communicate with people that are very far away.,LABEL_1,0.9777352809906006
1505,"As i mentioned, people who use computers too much are getting less exercise.","By not exercising, this could really affect people's health.","From recent studies by @ORGANIZATION1, @PERCENT1 of people whouse computers too much are overweight.",LABEL_1,0.7906817197799683
1506,"Dear local newspaper, I strongly think that manypeople are not benefiting fromusing computers.",There are so many more things people can do besides go on the computer.,"By using the computer, people are getting less exercise, not enjoying the nature, and not interacting with family or friends.",LABEL_1,0.880517840385437
1507,"Dear, local news time editor using a @CAPS1 daily has a positive effect on people, wouldn't you agree?",People should use a @CAPS1 more often.,"I think everyone should have at least one or two computers in their house, they were invented for a reason.",LABEL_1,0.5787231922149658
1509,"Well, if you are, it's time to get off the spinning computer chair and out for soem fresh air.",Most kids spend most of their time on the computer @CAPS1 or on @CAPS2 or @CAPS3.,It @MONTH1 be good for kids to interact with kids out of school but sooem kids take it way to far.,LABEL_1,0.5307915210723877
1510,"They allow you to learn new things, are very helpful for school and work, and they can keep family an friends connected.",Computers have a positive and helpful effect on people.,"To begin, computers help you learn new things.",LABEL_1,0.8163114786148071
1511,"Not just physical skills, but computers help with research skills.",There are certain ways to research information effectively.,"This can help for future researching, and school purposes.",LABEL_1,0.7161791324615479
1512,Without the computer I would not have been able to learn about this fasinating country.,On a computer you can also learn about historic and famous people.,"On computers you can read biographies of them, or watch videos of whay they did to become famous.",LABEL_1,0.9215561747550964
1513,"Writing letters is to slow, on computer the other person your talking to can reply immediately.",On a computer communication is made easier.,A computer can also teach you hand-eye cordination.,LABEL_1,0.5831390619277954
1514,"Without these instant messages and emails, we would more than likely talk to them once, maybe twice a year!",Some people say that computers make people spend less time interacting with family and friends.,"For me personally, and I know many others, interaction would be impossible without these modern manuals.",LABEL_1,0.9575936198234558
1515,Why not use it?,"I could never turn down an opportunity to talk to a distant cousin, or another kid from a different country.",I couldn't pass up a chance to check up on some old buddies that moved away.,LABEL_1,0.9542529582977296
1516,"My @CAPS1 and my @CAPS2 have both used internet to reunite with old college buddies, or see how far away friends are.","These are grown ups, using the tools available to improve their lives.",Internet goes beyond teenagers on @CAPS3 and @CAPS4.,LABEL_1,0.7675085067749023
1517,"This technology is the basis of our future, and our future has evolved around our computers.","People learn so they can become better at things, be aware of what is going on, and to gain the knowledge that possibly help mem succed in life.","Computers gona access to information that people want to know whether it is to learn how it dance using youtube.com, to learn about a possible vacation spot your family might visit, or to research a topic for a school paper: computers have it all.",LABEL_1,0.6388108134269714
1519,"As a result of this increase in knolage, from a learning stand point computers are extremly good for mankind.",My second reason that computers are extremely good for us is that they are entertaining.,"On your new laptop you can go on miniclip or addicting games, both gaming websites and play games.",LABEL_1,0.7134603261947632
1523,There are many website on the internet that teach kids to type.,"Typing helps kids learn the alphabet, learn what the letters look like and shows them where the keys are.","Also, there are other sites where the computer interacts with you.",LABEL_1,0.9350796341896056
1524,"Dear @ORGANIZATION1, Computers have a positive impact on people.","Although people aren't outside being active, computers still benefit in a good way.",Computers teach hand-eye coordination they're convient and you can interact online with diffrent types of people.,LABEL_1,0.5427672863006592
1528,"Dear Newspaper @CAPS1, With computers being so popular right now it's easy to think that they are helpful and have a positive effect on the people that use them.","However, I do do belive that computers have more harmful effects than good ones on the people they are used by.",I belive this for @NUM1 reasons.,LABEL_1,0.5074306130409241
1529,Why is there so much obesity in the world nowadays?,Because of a lack of @CAPS3.,And who is the #@NUM3 cul?,LABEL_1,0.5656400322914124
1530,"In order for more people to maintain healthy, there needs to be a lot of @CAPS3.","When someone can sit around all day clicking a mouse or typing keys in, how much @CAPS3 are they really getting?","Plus, there are many different disorders in the world.",LABEL_1,0.6556784510612488
1532,"Dear Local Newspaper, I believe that computers have a coolest effect on people.","It allows people to develop hand-eye coordination, allow people to learn about faraway people and cultures, and communicate online through e-mail or instant messaging.",All of these reasons prove to be a positive reason to use the computer.,LABEL_1,0.922968089580536
1535,"As more and more people are becoming accustomed to using computers, I believe that this is having a negative effect on society.","Because of computers people are not exercising as much as they should, which is of crucial importance.","In addition, people are becoming unable to envoy and appreciate nature while they still can.",LABEL_1,0.9025425910949708
1536,"With computers, you can learn about far away places without learing the comfort of your own home.","In addition to getting a great education from them, computers are an eyelent form of communication.",I remember when I was in @NUM1 grade and my father was across the world on a business trip.,LABEL_1,0.8043519258499146
1537,Spending time with family and friends is a fun way to stay off the computer.,Friends and Family are not people to take advantage of.,They are people who are there for you when you are down and make you laugh.,LABEL_1,0.9721736311912536
1538,"Many people have a twitter, facebook , myspce, etc. and all those websites can help .","Products like skpe, video chat , aim and email allow people to have a conversation online.",Email is something that there are so many new ides.,LABEL_1,0.5953467488288879
1539,Talking and catching up with one another is a great way to re-connect.,"During family holidays, we don't bring our computers.",We shut them off to spend time with each other.,LABEL_1,0.9658289551734924
1542,This helped me get over my father's absence.,"When you use a computer to communicate you are also saving money.""",You can save over @MONEY1 a year.,LABEL_1,0.7632415294647217
1543,"Computers help people save money by talking on the computers with friends, family and even co-workers.",Computers have been very helpful ever since they were invented.,They help people learn about places all over the world and about anything you want to learn about.,LABEL_1,0.9511860609054564
1544,"In conclusion, you will have great eye coordination, you will be able to research faraway places, and you will always be allowed to video chat or talk to family online.","@CAPS5, I want you to tell the whole world that computers are useful and people use them everyday without a problem.","Lastly, you will have the best feeling ever @CAPS2 you make everyone smile by knowing you believe that spending time on the computer can teach you a lot!",LABEL_1,0.5875375866889954
1549,"Being able to communicate with one another makes theses people happy, and benefits society.","Overall, being able to communicate through computers is an enjoyable thing for many people, and is important to society today.","To conclude, computers contribute to society in ways that make it much better for everyone.",LABEL_1,0.7083792686462402
1552,"How this benefits you is because @CAPS2 you have not seen your relatives in ages and you cannot buy a ticket to visit them, then video chat.",It has gotten people so much closer and you see the world in a whole different way.,"@CAPS5, instead of wasting all your cell phone minutes, go buy a laptop or computer with a camera on it so you can video chat.",LABEL_1,0.5165426731109619
1553,Every town I know about has sport fields where many kids and adults of all ages use.,it also a great way to make friends!,Get to know them in person and not over the internet.,LABEL_1,0.7328538298606873
1554,What are you waiting for?,Stop reading this article and go out and meet new friends.,Visit a local park or play a sport for fun.,LABEL_1,0.9849558472633362
1555,He weighs three-hundred pounds at the age fourteen.,"An eight grader, can you believe that?","He tells me he has his laptop on his lap, surrounder by junk food.",LABEL_1,0.862098753452301
1557,They are now always inside on their computer.,I know a thirteen year old named @ORGANIZATION1.,She even admits that being on a computer is better than being outside with friends.,LABEL_1,0.883787989616394
1558,Another thing they might do is go to a website that could have them find afordable flights or a hotel to stay at.,If a child is doing a report about a country in @LOCATION1 they can go on the computer to find out facts on that country.,Computers educate people about places all over the world.,LABEL_1,0.5495631098747253
1560,"Computers help people with hand-eye cordination, learn about faraway places, and talk with others online.",This is what computers can do to help our socity become better.,"Firstly, the computer can teach us hand-eye cordination.",LABEL_1,0.8078837990760803
1562,"They are constantly sending emails, typing proposals and all those things.",And without a computer all that would be very challenging.,Business men are not the only ones doing that though.,LABEL_1,0.9295244812965392
1566,"When your were a kid, did your parents let you play all day on the computer?",Well my parents don't let me and I think thats not fair.,"I think it's not fair because being on the computer has a lot of benefits, like teaching you hand-eye cordination.",LABEL_1,0.6795012354850769
1567,They aren't being active.,The only movement that occurs while on a computer is the tiny flick of a finger as it clicks the mouse button.,This is clearly not enough excersise that is required to maintain a healthy and happy lifestyle.,LABEL_1,0.5949525833129883
1568,"So in conclusion, if you don't control yourself on the computer it can have bad affects.","Computers are easy to get addicted to, use a lot of electricity, and can make people fat and lazy.",Do you think playing computer games is worth losing friends and family?,LABEL_1,0.966551959514618
1569,"With email, the message will be sent quickly and free.",You can also have conversations through email with no problem.,Another very effective way to contact family is through skype or a web cam.,LABEL_1,0.980639398097992
1570,"Dear @CAPS1, People use computer all over the world, for one reason or another, but they are very necessary in our world.",That is why computers have a good effect on people today.,They help us contact distant family members.,LABEL_1,0.914302945137024
1571,One girl sits by her computer doing homework.,"Another girl with her computer, talks to her friends.",Those girls are doing activitys that make our world more productive.,LABEL_1,0.7653385996818542
1572,"Dear @CAPS1 @CAPS2 @CAPS3 @CAPS4, The average teenager spends @NUM1 hours on a computer daily!",People spend too much time on their computers.,They don't exercise as much nowadays.,LABEL_1,0.7933019399642944
1573,The computer can also help with business.,Meeting can be done through @ORGANIZATION2 or a different webchat service.,Emails are a great way to send information.,LABEL_1,0.9121889472007751
1574,These websites are a great tool to keep in touch with family and friends or even fans.,"@PERSON2, lead singer of the band @CAPS3 @ORGANIZATION1, said ""@CAPS1 is a way to talk to the fans directly ad post updates about upcoming tours and albums.",Not only isit great for bands but it is great for college students.,LABEL_1,0.6896535754203796
1575,They say that this powerful technology has been more effective and quicker.,My cousin and I were both given the same research paper to do.,He used several books to get information on the topic and I used the computer.,LABEL_1,0.9527373909950256
1576,"A large amount of people use computers daily, but not everyone agrees this technology benefits society.",I think that computers benefit our way of life in many ways.,"This very useful technology has a positive effect on people because, it allows people to send, receive, and research a vast variety of information easily.",LABEL_1,0.9196906685829164
1577,"Overall, setting out and actually spending time with real people creates memories that you will cherish for the rest of your life.",This feeling can never occur through the internet.,Another reason why I think that computers have a bad effect on their users is that constant computer use has resulted in a lack of excersise for many people.,LABEL_1,0.902146339416504
1578,"Another thing you can do is watch movies online when you are on a plane going to the vacation, because that's what I do with my laptop.",But the thing I like the most is watching shows because everytime I watch different episodes of @CAPS9 @PERSON1 the time goes by so quick that a @NUM2 hour flight only seems like @NUM3 hours.,"Finally, I have explained to you why having a computer is a good thing.",LABEL_1,0.88264000415802
1583,"In todays day in age, computers are a key part to business, education, and recreation and they benefit our society.","First of all, you can get a better education learning from them, also, it is a great way to communicate with people.","Finally, it even teacher hand-eye coordination that you could use in your everyday life.",LABEL_1,0.7434498071670532
1584,"Dear editor of the @CAPS1 @CAPS2, People say that technology is affecting everybody left and right.",Computers actively help us with our daily lives.,"It helps us do project for school, let us understand culture around the world, and gives us the ability to talk and connect with friends and family everywhere.",LABEL_1,0.7562031149864197
1585,"For example, the textbooks that we use in social studies at our school still refers to @LOCATION3 as the @LOCATION1.",Computers are a great way to get up-to-date information about the world.,"""With our outdated textbooks in school, the @CAPS1 is our number one recourse to get information.""",LABEL_1,0.5250135064125061
1587,Computers are negative to people since they ruin their relationships with friends and family.,People should spend less time on the computer.,Computers are a main factor in the vast increase in obesity rates.,LABEL_1,0.9353168606758118
1588,"Schools, offices, and companys all over the world use these products and it doesn't only make society better it makes the world better.","In conclusion, computers do have a positive effect on people around the world.","They can help with hand eye cordination, help you learn about far away places, and they help people communicate.",LABEL_1,0.8520143032073975
1590,"Fortunately, it means we do projects, reports, and research on the computer.","The computer enables us to find information for a project, or construct a diagram or data table for a survey.",Many people use this method for jobs.,LABEL_1,0.9611905813217164
1594,They can be done only by the help of a computer.,You can research people and places and or get pictures.,You can also book flights for far away trips and buy cars and other items off the internet.,LABEL_1,0.6649754643440247
1596,I'm sure that this will continue to get worse if people continue spending a majority of time on their computers.,A third reason why I think computers are having a negative effect on people is because they are distracting and they waste time.,"An example of this is that once when I was online doing research for a school project, I saw an advertisment for a website that looked interesting.",LABEL_1,0.9723915457725524
1600,"Or you could go for a slow, realaxing bike ride through a trail with a constant cool breeze, brushing your face with every of your wheels.","Finally, you could pick a warm day to sit out on the beach, and listen to some music, next to the salty ocean.",How could you resist those temptations?,LABEL_1,0.8193387985229492
1601,His report card is unbelievable.,He used to be A @CAPS3 student.,Now he's in a dump.,LABEL_1,0.7697321772575378
1602,Why is it that now these days kids can't simply run out to the bus stop without feeling totally winded?,I feel it's because they are not getting enough well needed exercise!,"For example, instead of sitting infront of the computer, kids, and even adults can enjoy going to the gym.",LABEL_1,0.9010056853294371
1603,"This new @ORGANIZATION2, video chat, @CAPS4, etc. has brought the unlucky bullied students a one way ticket to getting cyber bullied.",I have heard of a case where a student was cyber bullied to such an extent that she suicided on the internet to show how depressed she was.,Computers made that event possible.,LABEL_1,0.5755643248558044
1604,How else would it be possible to travel somplace far away without booking a flight on a computer.,"Next, computers help learn about different coltures.","Once one has booked reservations to a certain travel spot on thier computer, they will learn much about the unfamiliar land they have went to.",LABEL_1,0.6919655203819275
1605,The trips would not have been possible without help researching and making flights with the computers.,The computer makes it possible to experience to territorys.,It is a key item when someone is looking to travel.,LABEL_1,0.51425701379776
1607,"Dear @ORGANIZATION1, I am aware that some people think computers have a negative affect on others, but I think it's the opposite.",Computers have completely changed the world.,"People can save work on them, visually experience things they've never seen before, or even catch up with old buddies.",LABEL_1,0.9036106467247008
1609,"Lastly, a computer is another resort to go to when trying to accomplish something, because there is always something on the internet that will help you.","There's a famous quote that goes, ""the largest room in the world, is the room for improvement.""","In my opinion, the computers could make that room a little smaller.",LABEL_1,0.9418941140174866
1610,Kids can use computers to find information they need quickly.,Kids can also use computer to wright essays or print pictures for projects.,Computers are definately a staple for learning & education.,LABEL_1,0.9232033491134644
1611,I think that computers help people in there everyday lives.,They just make things so much easier.,Computers help us to find information @CAPS2 we needed.,LABEL_1,0.7543752789497375
1614,"Dear Local Newspaper, Computers have a positive effect on people because it teaches them hand-eye coordination, the ability to learn about people and places and allows for people to entertain themselves.",As I said before computers are very useful for the advances of hand-eye coordination.,Hand-eye coordination is very important in our current world because in order to play sports and type effectively you must have hand-eye coordination.,LABEL_1,0.8581848740577698
1615,"Look at modern medicine, it would be nothing without todays technology in computers.",We can look at todays military.,Computers practically run todays armed forces.,LABEL_1,0.5315558314323425
1616,There are many different things you can do to excersize and its fun for kids.,"Unquestionably, there is definitely more reasons why there is a negative affect on kids/adults due to computers for the reasons above and more.",Computers prevent people from enjoying nature to get fresh air.,LABEL_1,0.569284975528717
1617,Computers are key when it comes to pysicological learing.,Handeye coordinatin is taught to us through games and such that we play without us even knowing it.,"Hand-eye coordination allows us to catch a ball or play sports, and computers help us acheive that.",LABEL_1,0.6955774426460266
1618,These issues above are serious health problems if not treated.,"If kids excercize instead of being on a computer all day, the number of obese kids will drop drastically.","Excersize can help kids' self esteem, and get them back in shape.",LABEL_1,0.9274467825889589
1619,@NUM1 out of @NUM2 experts say that eating a family dinner can help a child's grades & prevent them from using drugs or dropout of high school or college.,"Finally, kids are more obese than us because they don't get enough excersize.",At least @PERCENT1 or more kids are obese from recent studies.,LABEL_1,0.5657703280448914
1620,People can lose track of time & be on the computer for hours.,Instead you should use this time to be with your friends and family.,Being with your family can make your bond between each other stronger and you can get along with each other better.,LABEL_1,0.966932475566864
1621,"In conclusion, the computer is a useful divice thats benefits us and helps us with our everyday life.",@CAPS2 allows us to connect with family in far away places and surf the internet for new information.,@CAPS4 you can play games with people from around the world.,LABEL_1,0.885981559753418
1623,"Not to mention, what would happen if you didn't use computers and a fire occured?","All of your hard work will be turned into ash, but if it was on the computer you be able to retrieve it.",You can save anything on a computer.,LABEL_1,0.7072369456291199
1625,"People use it for all sorts of things, communucation, awareness and learning and entertainment.",Some experts are concerned that people spend too much time on computers and it couldn't agree more.,Computers maybe useful but they are over used.,LABEL_1,0.7435973286628723
1626,@PERCENT1 of kids said that when they are doing a project the best thing to use would be the internet.,@CAPS4 @CAPS2 helps the kids work faster so they can spend more time outside or hanging out with their friends.,Another thing you can do is learn about recent events.,LABEL_1,0.5844587683677673
1627,The computer screen is straining their eyes horribly & for the people who are on the computer @NUM1 - @DATE1 hours a day are pretty much sending their eyes to blindness.,When I go onto the computer for only @NUM2 minutes my eyes start to water.,It is a devastating outcome of using a computer too much.,LABEL_1,0.5488978028297424
1628,"People are spending too much time on their computers and are spending less time exercising, enjoying nature, and interacting with family and friends.",These people are spending hours and hours in front of a computer getting heavier every day.,They start to eat their feelings because of how lonely they are.,LABEL_1,0.8410295844078064
1629,Studies show that @PERCENT1 of people with computers have either @CAPS8 or @ORGANIZATION2 installed in their computers.,You can also communicate with people who has an email address.,I remember having a problem with my laptop and my crush knows everything about them.,LABEL_1,0.5516876578330994
1630,Look at what computers can do.,"If you got bad grades (without computer), you will go to a bad college and have a bad job, however, if you got good grades(with computer), you will go to a good college and get a good job.","Next, let's look at how you can chat or talk to people.",LABEL_1,0.9613242745399476
1633,"So, if you think about it, we really don't need computers to survive.","You need your exercise, don't blow it off for online chat.","Also, its very important to interact and be part of your family, and less internet use will cut down the risk of identity theft, or any other problem or virus.",LABEL_1,0.8567835092544556
1634,"Just like that, computers help to get questions answered fast.",Computers also help you learn new things like typing skills.,just learning how to work them is a new skill.,LABEL_1,0.9025312066078186
1635,There are plenty of dangers out there in @LOCATION1.,"Online predators lurk as many comers, and your personal information and identity can easily be stolen.",The risk of any of these things happening is very high.,LABEL_1,0.5564890503883362
1638,Computers are also not always dependable or safe.,"First of all, the biggest computer users are adolesents.","Young adults spend hours on websites like @CAPS1, @CAPS2, and @CAPS3 communicating with their friends.",LABEL_1,0.937534749507904
1639,"Although, there are much stronger reasons as to why computers have a positive effect on people.","Furthermore, computers help people with work and school.","Computers help you send e-mails for work, make slide shows for presentations, and keep calendars so you can be organised and on time.",LABEL_1,0.9320160746574402
1640,"An entire vacation can be planned, confirmed and paid for thanks to the computer.",Jobs that would normally take hours of researching and calling can be done in @DATE1 minuets for less using the computer.,This allows people more time to go have fun with their lives and not have to worry about plannings.,LABEL_1,0.7974604964256287
1642,"The internet is a wide ocean of pictures, wordes, and sounds.","The computer is the item that organizes it, for your entertainment.","There is a picture of just about anything imaginaeable on the internet; from the palm shaped islands of @LOCATION1, to the frozen @CAPS1 tundra in the @LOCATION3.",LABEL_1,0.7022512555122375
1645,Computers are very helpful when it comes to learning.,"They can teach you things that most books cant, such as hand eye coordination also about the current populations of countrys and cities.","Also, computers gives you the opportunity to see pictures of places and people that you couldn't find in books or photo albums or newspapers.",LABEL_1,0.6777443885803223
1648,People who @MONTH1 have posted the website could very well be crazy.,"Plus websites are filled with viruses, and what happens when your computer is dead due to viruses and you actually need your computer for a school project?",The simple alternative would be going to the local library and checking out a variety of books.,LABEL_1,0.679440975189209
1650,I have to disagree.,"They say they practice hand eye coordination, they can teach you about far away places and you can talk with people online.",Sports are a great way to exercise and practice hand eye coordination.,LABEL_1,0.9625225067138672
1651,"Dear Local Newspaper, Computers are harmfully effecting the children, and they are going to effect @CAPS1 generations even more.","Computers are fine in moderation, as are most things.",If they are needed for a school project that fine but using the computer everyday rather than exercising is not okay.,LABEL_1,0.6251819133758545
1652,"Though, it isn't that safe all the time.","Another new thing is oovoo or skype, which allows you to talk to someone with webcam.","There could be a time when a teen ""meets"" someone on-line and agree to do things on the webcam for someone they don't really know to see.",LABEL_1,0.8055794835090637
1654,"I try to cut back on my computer times, but it doesn't really work out.",Sitting on the computer for hours everyday is also looking exercise.,The hours used up on the computer could be the time in which you are exercising.,LABEL_1,0.5546913743019104
1655,"After a while, you @MONTH1 want to back everything up by copying all of your photos, files, music ect.",to a @CAPS4 so you dont loose everything if your computer shuts down.,"After reading this, don't you agree with me, that computers are a benefit to society?",LABEL_1,0.8511773943901062
1656,@PERSON1 is an old family friend of mine.,He was one of the few people who was working on going to the moon for the very first time.,They were astonished with what thier astronauts saw.,LABEL_1,0.8714247345924377
1657,"Dear editor, Have you ever stopped and asked yourself which was more important?","Of course I can be talking about anything, but what about computers verses family, friends, nature, your own health etc.","Well, I ask myself that quite often, and I feel that it's so much more worth it to be with family and friends than to be infront of a computer.",LABEL_1,0.7351998090744019
1658,"Aside from being a great source of communication, computers are fantastic for searching and research.","For almost all of my school assignments that required research, I've used a computer.","Sometimes, you can even find articles from library books online.",LABEL_1,0.9597904682159424
1659,"However, she was in a boarding school in @LOCATION2 while her aunt needed her support.","Instead, she was with her every step on webcam, emailing and @CAPS7.",She could even contact her doctors to see her condition after.,LABEL_1,0.5551477074623108
1661,"This is not good because when you go outside, it helps skin health from the sunlight & lets in fresh air for your lungs.","In addition, a walk outside to enjoy nature wouldn't hurt either.",It can relieve stress & can be relaxing.,LABEL_1,0.8887552618980408
1664,What about your health?,Getting fresh air can be good.,These are many great things you can do outside.,LABEL_1,0.9829597473144532
1667,"Although using a computer can become an addicting and unhealthy habbit, they teach a person everyday about something, are enjoyable, and help save the earth.","Using computers is something I know millions of people use everyday, and would think @CAPS2 would be difficult to live without.","For example, my family owns four computers.",LABEL_1,0.9019359946250916
1670,"When I think of facebook or oovoo, or even myspace it makes me think of inapropriate pictures kids, and adults post.",I think that is very unhumane and that is very dangerous to post ot because once it's out there you'll never get it back.,"For instance I am always outsided hanginaround when it's warm out, during winter I can understand going on facebook, but during the @DATE1 there is no need just go outside and have fun.",LABEL_1,0.5026079416275024
1671,The sun came out the next day and everyone logged onto their emails with a sigh of relief.,Not only relief for the world not ending but for the life of computers to be able to go on.,People still rely on computers just as much more today.,LABEL_1,0.625042200088501
1672,People were panicing over the thought of their precious computers not working.,The entire nation had become reliant on computers.,Everyone hid in attics and basements waiting for the world to end.,LABEL_1,0.975288987159729
1675,When you are using technology usually it is work related.,"A computer is used for work to write essays, make power points, and research, when people use them for facebook, myspace, @CAPS1, and other chat live oovoo and websites it is more for their pleasure.","I only go on facebook when I am checking my schedule for hockey, most kids use it for talk.",LABEL_1,0.8431748151779175
1678,"Dear newspaper, Computers are everywhere in our nation.","We have them at home, at @ORGANIZATION1 or at our work.",Many people believe that computers are bad for our health or we don't spend enough time with our family.,LABEL_1,0.7657442688941956
1679,some kids parents don't really give a flying faldoodle what their kids do all day.,They don't care if their kid is @NUM1 lbs.,at the age of @NUM2.,LABEL_1,0.6155354380607605
1680,Do you ever have time to read?,Do you ever spend time with your family?,Or do you ever have time to go outside?,LABEL_1,0.9651116728782654
1681,So let me express my love for computers to you.,"Televisions, radios, and @NUM1 payers are no match for the internet and it's great wide spread entertainment system.","The computer has all of the faimly fun movies, itunes tracks, and even websites where you could make your own movies.",LABEL_1,0.5940524935722351
1682,"Dear @ORGANIZATION1, Computers are a great way to learn about the world and its people.",Computers can teach people about things that are forien to them.,"Computers keep people intouch, all over the world.",LABEL_1,0.7322900295257568
1683,"Dear local newspaper, I believe that with too much use of computer it will have bad affects on people.",People can get addicted to it so easily.,They also use a lot of electricity.,LABEL_1,0.9212989807128906
1685,"Dear @CAPS1, I believe computers are a huge benefit to society.",I myself have a computer; it is very important and useful to me.,Over @PERCENT1 of the families in our town own at least one computer.,LABEL_1,0.7863432765007019
1687,"Dear @ORGANIZATION1, it has come to my attention that more and more people use computer, but not everyone agrees that this benefits the society.",I strongly believe that computers do benefit society for three reasons.,"First, computers are a great source to do school work on.",LABEL_1,0.9365112781524658
1689,In my experience as a computer engineer.,I have learned that playing or using a computer call help victims of reflex damaging accidents.,A computer helps the victim by giving them a better feel on their environment.,LABEL_1,0.8370656967163086
1690,"to sum it all up, computers benefits society and have possitive effects on people.","Computers are great sources to do school work, they give you information your looking for, and are great ways to keep in touch with family and friends.",Clearly you can see why I strongly believe that computers have a strong and possitive effect on people and benefit the society.,LABEL_1,0.8436755537986755
1693,"School websites have information about classes, events, and clubs.","They provide the information that you need to think about going to that school in an easy, convenient way, while finding the website for the school take no more than @NUM2 minutes, actually going to that school for information can take more than just @NUM2 minutes, and even hours.","According to @ORGANIZATION2, @NUM1 out of @NUM2 students choose what college to go to first by checking its website.",LABEL_1,0.7335395216941833
1694,I'm just trying to prove that too much is bad for you.,"That with too much computer time, people can become more aggresive, have health issues, and become even less caring of the environment.","Therefore I urge you @CAPS1 to write an article in the newspaper about the effects of too much computer time, to make it known to everyone in the city.",LABEL_1,0.9363422989845276
